id_accs,active_deals,activity_count,buyer_book,servicing_contract,investor_type,cmbs,consultant,correspondent,foreign,master_servicer,lender_book,loan_sales_book,loan_servicing,num_deals_as_client,num_deals_as_investor,number_of_properties,number_of_related_deals,number_of_related_properties,number_of_won_deals_as_client
0012A000023XlCCQA0,1,2367,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,2,1,0
0012A000023XmOxQAK,9,7974,TRUE,FALSE,REIT,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,2,77,18,85,7
0012A000023YLqwQAG,891,50161,TRUE,TRUE,Bank / Thrift,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,40,851,693,996,1167,37
0012A000023XlNjQAK,34,14631,TRUE,FALSE,Conduit/CMBS,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,34,0,45,14,0
0012A000023YBFRQA4,283,194195,TRUE,FALSE,Life Insurance Company,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,63,220,393,383,591,46
0012A000023XlQFQA0,39,23659,TRUE,FALSE,Advisor/Equity Fund,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,35,4,57,64,58,32
0012A000023XlWaQAK,261,127948,TRUE,FALSE,Life Insurance Company,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,40,221,138,283,276,30
0012A000029wI3eQAE,14,23727,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,9,5,64,40,71,7
0012A000023XmSVQA0,11,2405,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,1,2,16,2,10
0012A00002HqXOHQA3,372,5954,TRUE,TRUE,Conduit/CMBS,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,370,0,0,164,1
0012A000023XosfQAC,24,11039,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,4,11,47,14,19
0012A000023YDnWQAW,606,217301,TRUE,TRUE,Life Insurance Company,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,51,555,108,664,381,38
0012A000023Xp6lQAC,3,5052,TRUE,FALSE,REIT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,3,58,3,58,0
0012A000029wIHnQAM,45,71762,TRUE,FALSE,Advisor/Equity Fund,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,35,10,44,69,51,25
0012A000023XlSVQA0,7,882,FALSE,FALSE,Credit/Specialty Finance Company,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,7,4,7,5,0
0012A000023XlStQAK,44,26816,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,42,2,44,87,64,37
0012A000023XlZ5QAK,324,18287,TRUE,TRUE,Life Insurance Company,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,24,300,0,362,231,24
0012A000023Y9gNQAS,217,200215,TRUE,FALSE,Advisor/Equity Fund,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,170,47,558,339,643,133
0012A000023YD7UQAW,117,8061,TRUE,FALSE,Bank / Thrift,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,116,60,132,116,0
0012A000023XlX9QAK,36,28756,TRUE,FALSE,REIT,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,15,21,155,66,166,15
0012A000023Xo0OQAS,364,157298,TRUE,FALSE,Life Insurance Company,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,126,238,33,410,164,103
0012A000023XnT9QAK,20,8031,TRUE,FALSE,Agency,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,20,56,25,423,0
0012A000023Y4bYQAS,379,204360,TRUE,FALSE,Life Insurance Company,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,92,287,86,478,359,72
0012A00002Bg1kGQAR,34,22117,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,12,22,80,52,81,9
0012A000023XoQbQAK,278,171433,TRUE,TRUE,Bank / Thrift,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,101,177,133,375,255,88
0012A000023XnEiQAK,4,13678,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,4,16,10,16,0
0012A000023XrdJQAS,8,5091,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6,2,2,12,2,5
0012A000023YBvSQAW,1494,30030,TRUE,TRUE,Agency,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3,1491,1,1576,1152,2
0012A000023Xo53QAC,16,15885,TRUE,FALSE,Credit/Specialty Finance Company,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,11,5,4,31,10,10
0012A000023Xq5FQAS,8,12309,TRUE,FALSE,Advisor/Equity Fund,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,1,19,13,23,3
0012A000023Y9tkQAC,26,2824,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,10,10,30,11,16
0012A000023XqMLQA0,23,17358,TRUE,FALSE,REIT,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,15,8,25,28,27,14
0012A000023XlkNQAS,288,210435,TRUE,FALSE,Advisor/Equity Fund,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,224,64,247,355,299,188
0012A00002AMTqFQAX,15,5275,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9,6,23,25,23,8
0012A000023XlnqQAC,76,203637,TRUE,FALSE,Advisor/Equity Fund,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,35,41,148,128,193,28
0012A000023XoJoQAK,67,21180,TRUE,FALSE,Bank / Thrift,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,65,67,118,304,2
0012A000023Xuw4QAC,3,1311,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,1,6,3,6,2
0012A000023Xm35QAC,278,27290,TRUE,TRUE,Life Insurance Company,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,25,253,7,189,73,16
0012A000023YGakQAG,19,1605,TRUE,FALSE,REIT,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,17,2,1,21,1,17
0012A000023YBhKQAW,134,18409,TRUE,FALSE,Bank / Thrift,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,126,2,171,101,6
0012A000023XwMRQA0,47,70500,TRUE,FALSE,Advisor/Equity Fund,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,32,15,204,54,229,26
0012A000023XlUGQA0,12,5949,TRUE,FALSE,Bank / Thrift,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,12,16,15,28,0
0012A000026WYfoQAG,0,0,TRUE,FALSE,Property Owner,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,4,0,4,0
0012A000023Xm3ZQAS,77,36755,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,57,20,127,122,146,46
0012A000023XlVSQA0,854,58450,TRUE,TRUE,Bank / Thrift,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,14,840,2,955,470,9
0012A000023Xr5kQAC,29,38190,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,23,6,35,42,45,12
0012A000023Y5VCQA0,8,4750,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,3,5,11,7,2
0012A000024GP9LQAW,0,906,TRUE,FALSE,Account,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,1,0,1,0
0012A000023Xq22QAC,0,463,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,2,3,2,0
0012A000023XuYcQAK,16,12202,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7,9,5,32,8,5
0012A000023XlyvQAC,46,57334,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,38,8,105,66,139,27
0012A000026WwqxQAC,75,92526,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,46,29,257,133,309,45
0012A000026Wa89QAC,0,21,TRUE,FALSE,Property Owner,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,65,1,65,0
0012A000023Y36hQAC,10,13840,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,10,0,34,17,36,5
0012A000023YKsuQAG,133,79227,TRUE,FALSE,Advisor/Equity Fund,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,50,83,14,199,84,30
0012A000026WQe8QAG,0,2,TRUE,FALSE,Property Owner,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,9,0,9,0
0012A000023XrFiQAK,7,10976,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,6,25,12,26,1
0012A000023YLw9QAG,406,151807,TRUE,TRUE,Conduit/CMBS,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,48,358,142,502,382,29
0012A000023XliRQAS,230,168751,TRUE,TRUE,Advisor/Equity Fund,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,140,90,13,353,145,99
0012A000023Y6KsQAK,2,6890,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,8,3,8,1
0012A000023XuaCQAS,11,3613,TRUE,FALSE,Credit/Specialty Finance Company,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,11,0,11,8,0
0012A000023YByaQAG,14,6127,TRUE,FALSE,Bank / Thrift,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,14,0,14,15,0
0012A000023YBSjQAO,74,20827,TRUE,FALSE,Advisor/Equity Fund,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,55,19,53,103,54,51
0012A000023YGThQAO,6,1113,TRUE,FALSE,Bank / Thrift,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,6,0,6,1,0
0012A000023Y9BwQAK,2,0,FALSE,FALSE,Bank / Thrift,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,2,0,2,1,0
0012A000023YBDGQA4,23,6737,TRUE,FALSE,Life Insurance Company,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,21,0,25,6,2
0012A000023XlwxQAC,35,9336,TRUE,FALSE,REIT,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,34,1,7,68,27,32
0012A000023XwkGQAS,8,2316,TRUE,FALSE,Corporate Investor/User,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3,5,21,10,21,3
0012A000023XpbFQAS,13,6371,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9,4,3,18,7,2
0012A000023YL3pQAG,0,6,TRUE,FALSE,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,41,0,41,0
0012A000023XmUuQAK,9,31641,TRUE,FALSE,Advisor/Equity Fund,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,1,7,13,8,1
0012A000023Y6jAQAS,0,261,TRUE,FALSE,Private Investor/Developer,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,2,0,2,0
