id,createdbyid,id_deals,id_props
a0A2A00000TxIrIUAV,005F0000007WnNDIA0,0062A00000o979GQAQ,a0I2A00000XQH8YUAX
a0A2A00000TxIrSUAV,005F0000007WnNDIA0,0062A00000o94JrQAI,a0I2A00000XQJ4dUAH
a0A2A00000TxIrXUAV,005F0000007WnNDIA0,0062A00000o94GJQAY,a0I2A00000XQJL0UAP
a0A2A00000TxIrcUAF,005F0000007WnNDIA0,0062A00000o982fQAA,a0I2A00000XQKgkUAH
a0A2A00000TxIrhUAF,005F0000007WnNDIA0,0062A00000o96M4QAI,a0I2A00000XQMEhUAP
a0A2A00000TxIrmUAF,005F0000007WnNDIA0,0062A00000o93KZQAY,a0I2A00000XQQmaUAH
a0A2A00000TxIrnUAF,005F0000007WnNDIA0,0062A00000o97z2QAA,a0I2A00000XQS0oUAH
a0A2A00000TxIrrUAF,005F0000007WnNDIA0,0062A00000o90O2QAI,a0I2A00000XQXJmUAP
a0A2A00000TxIrsUAF,005F0000007WnNDIA0,0062A00000o981hQAA,a0I2A00000XuZ8tUAF
a0A2A00000TxIrxUAF,005F0000007WnNDIA0,0062A00000o96VzQAI,a0I2A00000XwI4YUAV
a0A2A00000TxIryUAF,005F0000007WnNDIA0,0062A00000o984vQAA,a0I2A00000XwI7xUAF
a0A2A00000TxIs2UAF,005F0000007WnNDIA0,0062A00000o934BQAQ,a0I2A00000XwdKiUAJ
a0A2A00000TxIs4UAF,005F0000007WnNDIA0,0062A00000o93LSQAY,a0I2A00000YHffvUAD
a0A2A00000TxIs6UAF,005F0000007WnNDIA0,0062A00000oHKt5QAG,a0I2A00000Y7POPUA3
a0A2A00000TxIsCUAV,005F0000007WnNDIA0,0062A00000oHKsqQAG,a0I2A00000Y7POUUA3
a0A2A00000TxIsDUAV,005F0000007WnNDIA0,0062A00000oHM94QAG,a0I2A00000Y7POZUA3
a0A2A00000TxIsEUAV,005F0000007WnNDIA0,0062A00000oHMTPQA4,a0I2A00000Y7POaUAN
a0A2A00000TxIsFUAV,005F0000007WnNDIA0,0062A00000oHMqsQAG,a0I2A00000Y7PObUAN
