id_deals,id_accs,accounting_date,best_initial_bid,id_deals,closedate,date_closed,deal_type,deal_update_flag,debt_yield,fiscal,fiscalquarter,fiscalyear,platform,property_group,property_type
0062A00000moF1LQAU,0012A000023XvIOQA0,,,0062A00000moF1LQAU,8/12/2005,8/18/2005 0:00,Fixed-rate,TRUE,,2005 3,3,2005,Debt,Healthcare,Healthcare
0062A00000moF9LQAU,0012A000023YFe1QAG,,,0062A00000moF9LQAU,2/6/2012,6/27/2012 12:00,Fixed-rate,TRUE,,2012 1,1,2012,Debt,Healthcare,Biotech
0062A00000moGodQAE,0012A000023YEDcQAO,8/12/2004,,0062A00000moGodQAE,11/24/2003,8/11/2004 0:00,Construction Loan,TRUE,,2003 4,4,2003,Debt,Healthcare,Biotech
0062A00000moBTHQA2,0012A000023YA3nQAG,,,0062A00000moBTHQA2,2/10/2006,4/19/2006 0:00,Fixed-rate,TRUE,,2006 1,1,2006,Debt,Healthcare,Healthcare
0062A00000mo8OjQAI,0012A000023XpRUQA0,,,0062A00000mo8OjQAI,7/13/2006,11/16/2006 0:00,Fixed-rate,TRUE,,2006 3,3,2006,Debt,Healthcare,Healthcare
0062A00000moHgpQAE,0012A000023Y6OGQA0,12/27/2011,,0062A00000moHgpQAE,8/16/2011,12/21/2011 0:00,Floating-Rate,TRUE,0,2011 3,3,2011,Debt,Healthcare,Healthcare
0062A00000moBqVQAU,0012A000023XtJbQAK,6/5/2006,,0062A00000moBqVQAU,1/12/2006,5/30/2006 0:00,Construction Loan,TRUE,,2006 1,1,2006,Debt,Healthcare,Seniors Housing
0062A00000moCA1QAM,0012A000023XtJbQAK,6/5/2006,,0062A00000moCA1QAM,1/12/2006,5/30/2006 0:00,Construction Loan,TRUE,,2006 1,1,2006,Debt,Healthcare,Seniors Housing
0062A00000moCDiQAM,0012A000023XtJbQAK,3/2/2006,,0062A00000moCDiQAM,1/12/2006,2/28/2006 0:00,Construction Loan,TRUE,,2006 1,1,2006,Debt,Healthcare,Seniors Housing
0062A00000moDLeQAM,0012A000023YAtbQAG,7/16/2008,,0062A00000moDLeQAM,5/5/2008,7/16/2008 0:00,Fixed-rate,TRUE,0,2008 2,2,2008,Debt,Healthcare,Healthcare
0062A00000moJW8QAM,0012A000023XrRWQA0,8/12/2004,,0062A00000moJW8QAM,6/4/2004,8/3/2004 0:00,Fixed-rate,TRUE,0,2004 2,2,2004,Debt,Healthcare,Healthcare
0062A00000moFXvQAM,0012A000023Xv3OQAS,1/31/2008,,0062A00000moFXvQAM,9/27/2007,1/30/2008 0:00,Fixed-rate,TRUE,0,2007 3,3,2007,Debt,Healthcare,Healthcare
0062A00000moM63QAE,0012A000023YDfGQAW,11/20/2006,,0062A00000moM63QAE,6/19/2006,11/14/2006 0:00,Joint Venture Equity,TRUE,0,2006 2,2,2006,Equity Placement,Healthcare,Healthcare
0062A00000moEW3QAM,0012A000023YF4AQAW,7/13/2016,,0062A00000moEW3QAM,5/2/2016,7/13/2016 0:00,Consulting Fees-Debt,TRUE,,2016 2,2,2016,Debt,Healthcare,Healthcare
0062A00000moMqpQAE,0012A000023Xm6kQAC,12/21/2004,,0062A00000moMqpQAE,4/12/2004,8/23/2004 0:00,Property Sale,TRUE,,2004 2,2,2004,Investment Sales,Healthcare,Healthcare
0062A00000moK82QAE,0012A000023YFqwQAG,2/6/2015,,0062A00000moK82QAE,9/25/2014,2/3/2015 0:00,Fixed-rate,TRUE,0,2014 3,3,2014,Debt,Healthcare,Healthcare
0062A00000modHfQAI,0012A000023YLmEQAW,12/1/1989,0,0062A00000modHfQAI,12/24/2002,12/1/1989 0:00,Mezzanine,TRUE,,2002 4,4,2002,Equity Placement,Healthcare,Healthcare
0062A00000moKT5QAM,0012A000023YCWaQAO,12/15/1988,0,0062A00000moKT5QAM,12/24/2002,12/15/1988 0:00,Fixed-rate,TRUE,,2002 4,4,2002,Debt,Healthcare,Healthcare
0062A00000moMaeQAE,0012A000023XxARQA0,12/31/1993,0,0062A00000moMaeQAE,12/24/2002,10/29/1993 0:00,Floating-Rate,TRUE,,2002 4,4,2002,Debt,Healthcare,Healthcare
0062A00000moIZfQAM,0012A000023YBDGQA4,10/7/1997,0,0062A00000moIZfQAM,12/24/2002,10/7/1997 0:00,Fixed-rate,TRUE,,2002 4,4,2002,Debt,Healthcare,Healthcare
0062A00000moAfXQAU,0012A000023XolAQAS,11/1/1997,0,0062A00000moAfXQAU,12/24/2002,11/1/1997 0:00,Fixed-rate,TRUE,,2002 4,4,2002,Debt,Healthcare,Healthcare
