id_props,building_status,building_tax_expenses,id_deals,city,class,county,sale_status,portfolio,market,num_buildings,num_floors,num_parking_spaces,occupancy_rate,price_per_sq_ft,price_per_unit,property_type_1,region__c,sale_amount__c,sale_date__c,size_acres,size_sf,size_units,year_built
a0I2A00000XQGKlUAP,Existing,2009 Tax @ $1.25/sf,a0I2A00000XQGKlUAP,City-0488,Class B,County-0172,N,FALSE,Market-0059,1,1,56,95,46.59,18350000,Industrial,Southwest,18350000,7/10/2015,3.76,393862,1,1980
a0I2A00000XQGKnUAP,,,a0I2A00000XQGKnUAP,City-1975,Class A,County-0465,Y,TRUE,Market-0239,,,,,1141.55,2109090.91,Multi-Housing,Southeast,21440582.78,12/31/2016,19.6,508080,275,2014
a0I2A00000XQGKoUAP,Existing,"2016 Tax @ $5.63/sf; 2007 Ops @ $19.58/sf, 2014 Est Ops @ $17.26/sf",a0I2A00000XQGKoUAP,City-1415,Class B,County-0452,N,FALSE,Market-0165,1,6,,100,1506.65,,Retail,Northeast,27541555.35,9/30/2016,0.266,18280,,1902
a0I2A00000XQGKpUAP,,,a0I2A00000XQGKpUAP,City-1415,Class A,County-0452,N,FALSE,Market-0165,1,25,,,580.83,1220689.66,,Northeast,141600000,1/21/2016,0.53,243789,116,
a0I2A00000XQGKqUAP,,,a0I2A00000XQGKqUAP,City-0941,,County-0284,N,FALSE,Market-0106,,,,,,,Self-Storage,Southwest,0,9/30/2014,,,,
a0I2A00000XQGKrUAP,Existing,2016 Tax @ $5.42/sf,a0I2A00000XQGKrUAP,City-0210,Class A,County-0613,N,FALSE,Market-0032,1,1,793,100,245.4,,Office,Northeast,40000000,5/30/2012,0.46,163000,,1937
a0I2A00000XQGKsUAP,Existing,2015 Tax @ $1158.52/Unit,a0I2A00000XQGKsUAP,City-0649,Class B,County-0624,N,FALSE,Market-0059,13,2,300,95,73.9,59134.62,Multi-Housing,Southwest,12300000,2/24/2015,9.63,166432,208,1979
a0I2A00000XQGKtUAP,,,a0I2A00000XQGKtUAP,City-0648,Class A,County-0361,N,FALSE,Market-0076,1,7,,,,,Multi-Housing,West,,,0.67,62524,100,2014
a0I2A00000XQGKvUAP,,,a0I2A00000XQGKvUAP,City-0246,,County-0501,N,FALSE,Market-0032,,,,,,,Industrial,Northeast,,,,63446,,
a0I2A00000XQGKwUAP,,,a0I2A00000XQGKwUAP,City-0424,,County-0069,N,FALSE,Market-0034,1,1,,100,,,Retail,Southwest,,,,8640,,2012
a0I2A00000XQGKxUAP,,,a0I2A00000XQGKxUAP,City-0283,,County-0404,N,FALSE,Market-0149,,,,100,,,Industrial,Southeast,,,,513734,,2011
a0I2A00000XQGKyUAP,Existing,2011 Tax @ $5.47/sf,a0I2A00000XQGKyUAP,City-1815,,County-0563,N,FALSE,Market-0206,2,3,,33,207.91,,Retail,West,20580000,5/23/2011,1.518,98983,,1907
a0I2A00000XQGKzUAP,,,a0I2A00000XQGKzUAP,City-0981,Class B,County-0203,N,FALSE,Market-0112,20,2,,96,126.06,106145.83,Multi-Housing,Southeast,45855000,10/31/2016,35.12,363747,432,1990
a0I2A00000XQGL0UAP,,,a0I2A00000XQGL0UAP,City-1663,Class B,County-0436,N,FALSE,Market-0183,,2,,95,154.17,100694.44,Multi-Housing,West,7250000,2/23/2015,1.72,47025,72,1977
a0I2A00000XQGL1UAP,,,a0I2A00000XQGL1UAP,City-1109,,County-0139,N,FALSE,Market-0132,4,1,,86,,,Industrial,West,,,10.77,196318,130,1979
a0I2A00000XQGL2UAP,Existing,2008 Tax @ $0.60/sf,a0I2A00000XQGL2UAP,City-0088,,County-0002,N,FALSE,Market-0065,,1,30,0,52.38,19032.26,Hotel-Lodging,West,2360000,9/14/2010,0.7,45052,124,2009
a0I2A00000XQGL3UAP,Existing,2016 Tax @ $2.17/sf,a0I2A00000XQGL3UAP,City-0697,Class A,County-0435,N,TRUE,Market-0165,4,3,416,81,518.14,,Office,Northeast,120000000,2/4/2008,30,158259,,1970
a0I2A00000XQGL4UAP,,,a0I2A00000XQGL4UAP,City-1808,,County-0053,N,TRUE,Market-0204,,,,,1195.17,597163.12,Hotel-Lodging,Southwest,84200000,4/30/2015,1.455,70450,141,2009
a0I2A00000XQGL5UAP,Existing,"2016 Tax @ $3.53/sf, 2009 Est Tax @ $1.69/sf; 2009 Est Ops @ $6.77/sf",a0I2A00000XQGL5UAP,City-0488,Class A,County-0172,N,TRUE,Market-0059,1,16,984,91,388.17,,Office,Southwest,144000000,7/22/2015,3.8,370968,,1980
a0I2A00000XQGL6UAP,Existing,2015 Tax @ $1641.84/Unit,a0I2A00000XQGL6UAP,City-2069,Class C,County-0462,N,FALSE,Market-0165,2,2,47,,,,Multi-Housing,Northeast,,,5.45,50000,48,1960
a0I2A00000XQGL7UAP,,,a0I2A00000XQGL7UAP,City-1214,,County-0431,N,FALSE,Market-0106,,,,0,,,Land,Southwest,,,163,,,
a0I2A00000XQGLAUA5,Existing,2011 Tax @ $5.24/sf,a0I2A00000XQGLAUA5,City-1663,Class B,County-0436,N,TRUE,Market-0183,1,1,100,100,794.77,,Industrial,West,25830000,4/7/2005,3.158,32500,,1981
