,id_accs,active_deals,activity_count,buyer_book,servicing_contract,investor_type,cmbs,consultant,correspondent,foreign,master_servicer,lender_book,loan_sales_book,loan_servicing,num_deals_as_client,num_deals_as_investor,number_of_properties,number_of_related_deals,number_of_related_properties,number_of_won_deals_as_client,investor_type_IsMissing,id_deals_x,accounting_date,best_initial_bid,id_deals.1,closedate,date_closed,deal_type,deal_update_flag,debt_yield,fiscal,fiscalquarter,fiscalyear,platform,property_group,property_type,id,createdbyid,id_props,building_status,building_tax_expenses,id_deals_y,city,class,county,sale_status,portfolio,market,num_buildings,num_floors,num_parking_spaces,occupancy_rate,price_per_sq_ft,price_per_unit,property_type_1,region__c,sale_amount__c,sale_date__c,size_acres,size_sf,size_units,year_built
0,0012A000023XmOxQAK,9,7974,True,False,1,False,False,False,False,False,True,True,False,7,2,77,18,85,7,False,0062A00000moOejQAE,7/31/2014,,0062A00000moOejQAE,6/3/2014,7/31/2014 0:00,Floating-Rate,True,8.7,2014 2,2,2014,Debt,Hotel-Lodging,Hotel/Lodging,a0A2A00000TzqXpUAJ,005F0000007WnNDIA0,a0I2A00000XQLUWUA5,Existing,2010 Tax @ $3.35/sf,a0I2A00000XQLUWUA5,City-0725,,County-0624,N,False,Market-0059,2.0,6.0,,100.0,,205128.21,Hotel-Lodging,Southwest,8000000.0,7/15/2014,0.22497704,0.0,39.0,1915.0
1,0012A000023XmOxQAK,9,7974,True,False,1,False,False,False,False,False,True,True,False,7,2,77,18,85,7,False,0062A00000nBEazQAG,5/24/2017,0.0,0062A00000nBEazQAG,12/19/2016,5/24/2017 0:00,Floating-Rate,True,0.0,2016 4,4,2016,Debt,Hotel-Lodging,Hotel/Lodging,a0A2A00000TzlO9UAJ,005F0000007WnNDIA0,a0I2A00000XQGxsUAH,Existing,2016 Tax @ $8.23/sf; 2007 Combined Est Tax/Ops @ $53.15/sf,a0I2A00000XQGxsUAH,City-0081,,County-0239,N,False,Market-0013,1.0,12.0,55.0,73.0,440.49,192142.86,Hotel-Lodging,Southeast,26900000.0,10/15/2015,0.32,61068.0,140.0,1924.0
2,0012A000023XmOxQAK,9,7974,True,False,1,False,False,False,False,False,True,True,False,7,2,77,18,85,7,False,0062A00000moOeeQAE,4/20/2015,0.0,0062A00000moOeeQAE,12/22/2014,4/17/2015 0:00,Floating-Rate,True,9.5,2014 4,4,2014,Debt,Hotel-Lodging,Hotel/Lodging,a0A2A00000TzmFsUAJ,005F0000007WnNDIA0,a0I2A00000XQHk4UAH,Existing,2016 Tax @ $2.55/sf; 2014 Ops @ $47.47/sf,a0I2A00000XQHk4UAH,City-1095,,County-0636,N,False,Market-0016,6.0,6.0,280.0,61.0,167.5,199404.76,Hotel-Lodging,Southwest,33500000.0,2/9/2015,10.629000000000001,200000.0,168.0,1966.0
4,0012A000023XmOxQAK,9,7974,True,False,1,False,False,False,False,False,True,True,False,7,2,77,18,85,7,False,0062A00000moPPVQA2,3/26/2015,0.0,0062A00000moPPVQA2,12/15/2014,3/26/2015 0:00,Floating-Rate,True,0.0,2014 4,4,2014,Debt,Hotel-Lodging,Hotel/Lodging,a0A2A00000TzpxlUAB,005F0000007WnNDIA0,a0I2A00000XQKxzUAH,,,a0I2A00000XQKxzUAH,City-1274,,County-0589,N,False,Market-0149,1.0,10.0,,72.0,43500000.0,187500.0,Hotel-Lodging,Southeast,43500000.0,2/26/2015,4.56,1.0,232.0,1986.0
5,0012A000023XmOxQAK,9,7974,True,False,1,False,False,False,False,False,True,True,False,7,2,77,18,85,7,False,0062A00000moOY4QAM,5/5/2014,0.0,0062A00000moOY4QAM,2/11/2014,5/1/2014 0:00,Fixed-rate,True,9.25,2014 1,1,2014,Debt,Hotel-Lodging,Hotel/Lodging,a0A2A00000TzqfPUAR,005F0000007WnNDIA0,a0I2A00000XQLazUAH,Existing,,a0I2A00000XQLazUAH,City-1223,,County-0287,N,False,Market-0101,,,,,,164980.13,Hotel-Lodging,Northeast,14848211.52,4/1/2007,,0.0,90.0,1999.0
6,0012A000023XmOxQAK,9,7974,True,False,1,False,False,False,False,False,True,True,False,7,2,77,18,85,7,False,0062A00000moPGGQA2,11/2/2017,0.0,0062A00000moPGGQA2,8/13/2015,11/1/2017 0:00,Property Sale,True,0.0,2015 3,3,2015,Investment Sales,Hotel-Lodging,Hotel/Lodging,a0A2A00000U07FCUAZ,005F0000007WnNDIA0,a0I2A00000XvUEwUAN,Existing,2012 Tax @ $2.78/sf; 2007 Combined Est Tax/Ops @ $47.04/sf,a0I2A00000XvUEwUAN,City-1627,,County-0154,N,False,Market-0059,1.0,6.0,575.0,70.0,304.17,257425.74,Hotel-Lodging,Southwest,104000000.0,11/1/2017,4.18,341917.0,404.0,2001.0
18,0012A000023YGakQAG,19,1605,True,False,1,False,False,False,True,False,False,True,False,17,2,1,21,1,17,False,0062A00000moNLkQAM,6/27/2014,0.0,0062A00000moNLkQAM,5/30/2014,6/26/2014 0:00,Fixed-rate,True,0.0,2014 2,2,2014,Debt,Multi-Housing,Apartments,a0A2A00000Tzm0TUAR,005F0000007WnNDIA0,a0I2A00000XQHUbUAP,Existing,2016 Tax @ $1769.16/Unit; 2011 Ops @ $4305.05/Unit,a0I2A00000XQHUbUAP,City-1118,Class A,County-0241,N,True,Market-0106,12.0,3.0,594.0,92.0,134.11,124431.82,Multi-Housing,Southwest,43800000.0,6/22/2014,18.68000031,326590.0,352.0,2008.0
20,0012A000023XqMLQA0,23,17358,True,False,1,False,False,False,False,False,True,True,False,15,8,25,28,27,14,False,0062A00000moANmQAM,8/16/2012,0.0,0062A00000moANmQAM,3/22/2012,8/16/2012 0:00,Fixed-rate,True,0.0,2012 1,1,2012,Debt,Multi-Housing,Apartments,a0A2A00000TzlGwUAJ,005F0000007WnNDIA0,a0I2A00000XQGoYUAX,Existing,2016 Tax @ $3210.06/Unit; 2011 Ops @ $2553.71/Unit,a0I2A00000XQGoYUAX,City-0486,Class A,County-0284,N,True,Market-0106,12.0,3.0,607.0,95.0,138.3,124358.97,Multi-Housing,Southwest,38800000.0,1/31/2014,14.89999962,280548.0,312.0,2008.0
21,0012A000023XqMLQA0,23,17358,True,False,1,False,False,False,False,False,True,True,False,15,8,25,28,27,14,False,0062A00000moAHjQAM,7/13/2010,0.0,0062A00000moAHjQAM,4/14/2010,7/13/2010 0:00,Fixed-rate,True,0.0,2010 2,2,2010,Debt,Multi-Housing,Apartments,a0A2A00000TzlGuUAJ,005F0000007WnNDIA0,a0I2A00000XQGoYUAX,Existing,2016 Tax @ $3210.06/Unit; 2011 Ops @ $2553.71/Unit,a0I2A00000XQGoYUAX,City-0486,Class A,County-0284,N,True,Market-0106,12.0,3.0,607.0,95.0,138.3,124358.97,Multi-Housing,Southwest,38800000.0,1/31/2014,14.89999962,280548.0,312.0,2008.0
105,0012A000023YGakQAG,19,1605,True,False,1,False,False,False,True,False,False,True,False,17,2,1,21,1,17,False,0062A00000moNSFQA2,9/16/2016,0.0,0062A00000moNSFQA2,6/14/2016,9/14/2016 0:00,Fixed-rate,True,0.0,2016 2,2,2016,Debt,Multi-Housing,Apartments,a0A2A00000Tzq7TUAR,005F0000007WnNDIA0,a0I2A00000XQL5kUAH,Existing,2014 Tax @ $299.59/Unit,a0I2A00000XQL5kUAH,City-0488,Class A,County-0172,N,False,Market-0059,2.0,5.0,553.0,77.0,232.83,192934.78,Multi-Housing,Southwest,71000000.0,9/14/2016,3.7230000000000003,304950.0,368.0,2015.0
107,0012A000023XlX9QAK,36,28756,True,False,1,False,False,False,False,False,True,True,False,15,21,155,66,166,15,False,0062A00000moLlyQAE,3/23/2011,0.0,0062A00000moLlyQAE,1/14/2011,3/21/2011 0:00,Fixed-rate,True,0.0,2011 1,1,2011,Debt,Multi-Housing,Apartments,a0A2A00000TzlBKUAZ,005F0000007WnNDIA0,a0I2A00000XQGnAUAX,Existing,2011 Tax @ $2654.02/Unit,a0I2A00000XQGnAUAX,City-0488,Class A,County-0172,N,False,Market-0059,1.0,4.0,556.0,95.0,136.9,128521.13,Multi-Housing,Southwest,45625000.0,3/21/2011,6.19,333277.0,355.0,2009.0
