,id_accs,active_deals,activity_count,buyer_book,servicing_contract,investor_type,cmbs,consultant,correspondent,foreign,master_servicer,lender_book,loan_sales_book,loan_servicing,num_deals_as_client,num_deals_as_investor,number_of_properties,number_of_related_deals,number_of_related_properties,number_of_won_deals_as_client,investor_type_IsMissing,id_deals_x,accounting_date,best_initial_bid,id_deals.1,closedate,date_closed,deal_type,deal_update_flag,debt_yield,fiscal,fiscalquarter,fiscalyear,platform,property_group,property_type,id,createdbyid,id_props,building_status,building_tax_expenses,id_deals_y,city,class,county,sale_status,portfolio,market,num_buildings,num_floors,num_parking_spaces,occupancy_rate,price_per_sq_ft,price_per_unit,property_type_1,region__c,sale_amount__c,sale_date__c,size_acres,size_sf,size_units,year_built
7,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZh1QAE,5/25/2010,23100000.0,0062A00000moZh1QAE,9/1/2009,5/24/2010 0:00,Property Sale,True,,2009 3,3,2009,Investment Sales,Hotel-Lodging,Hotel/Lodging,a0A2A00000TzksSUAR,005F0000007WnNDIA0,a0I2A00000XQGVPUA5,Existing,2016 Tax @ $5.50/sf,a0I2A00000XQGVPUA5,City-0488,,County-0172,N,False,Market-0059,1.0,11.0,276.0,80.0,252.74,201550.39,Hotel-Lodging,Southwest,52000000.0,6/11/2015,2.975,205745.0,258.0,2002.0
10,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZjWQAU,12/17/2012,0.0,0062A00000moZjWQAU,8/19/2011,12/13/2012 0:00,Property Sale,True,0.0,2011 3,3,2011,Investment Sales,Hotel-Lodging,Hotel/Lodging,a0A2A00000TzlPmUAJ,005F0000007WnNDIA0,a0I2A00000XQGzLUAX,,,a0I2A00000XQGzLUAX,City-2084,,County-0499,N,False,Market-0199,1.0,6.0,,52.0,172.75,417647.06,Land,West,71000000.0,12/13/2012,14.0,410996.0,170.0,2009.0
11,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZlbQAE,12/17/2012,0.0,0062A00000moZlbQAE,12/20/2011,12/13/2012 0:00,Property Sale,True,0.0,2011 4,4,2011,Investment Sales,Land,Land,a0A2A00000TzlPnUAJ,005F0000007WnNDIA0,a0I2A00000XQGzLUAX,,,a0I2A00000XQGzLUAX,City-2084,,County-0499,N,False,Market-0199,1.0,6.0,,52.0,172.75,417647.06,Land,West,71000000.0,12/13/2012,14.0,410996.0,170.0,2009.0
12,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZV6QAM,6/2/2009,9000000.0,0062A00000moZV6QAM,2/27/2009,6/2/2009 0:00,Property Sale,True,,2009 1,1,2009,Investment Sales,Industrial,Industrial,a0A2A00000TzlSdUAJ,005F0000007WnNDIA0,a0I2A00000XQH1WUAX,,,a0I2A00000XQH1WUAX,City-1627,Class A,County-0154,N,False,Market-0059,,,,50.0,56.25,,Industrial,Southwest,9000000.0,6/2/2009,,160000.0,,2001.0
13,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZjpQAE,12/29/2009,35000000.0,0062A00000moZjpQAE,8/18/2009,12/23/2009 0:00,Property Sale,True,,2009 3,3,2009,Investment Sales,Mixed Use,Mixed Use,a0A2A00000Tzm0lUAB,005F0000007WnNDIA0,a0I2A00000XQHWHUA5,,,a0I2A00000XQHWHUA5,City-0488,Class A,County-0172,N,False,Market-0059,3.0,4.0,,93.0,107.39,106606.61,Multi-Housing,Southwest,35500000.0,12/23/2009,7.76,330570.0,333.0,2007.0
14,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZdsQAE,9/28/2014,0.0,0062A00000moZdsQAE,5/8/2014,9/8/2014 0:00,Non-Performing,True,,2014 2,2,2014,Loan Sales,Multi-Housing,Apartments,a0A2A00000Tzp5nUAB,005F0000007WnNDIA0,a0I2A00000XQKExUAP,,,a0I2A00000XQKExUAP,City-1883,,County-0327,N,True,Market-0120,,2.0,,89.0,40.23,36647.73,Multi-Housing,Midwest,12900000.0,2/19/2015,,320680.0,352.0,1970.0
15,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZdsQAE,9/28/2014,0.0,0062A00000moZdsQAE,5/8/2014,9/8/2014 0:00,Non-Performing,True,,2014 2,2,2014,Loan Sales,Multi-Housing,Apartments,a0A2A00000TzqmMUAR,005F0000007WnNDIA0,a0I2A00000XQLhIUAX,,,a0I2A00000XQLhIUAX,City-1539,,County-0327,N,True,Market-0120,,,,97.0,37.54,41111.11,Multi-Housing,Midwest,3700000.0,2/26/2015,,98560.0,90.0,1966.0
16,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZdnQAE,6/10/2010,29500000.0,0062A00000moZdnQAE,3/29/2010,6/9/2010 0:00,Property Sale,True,0.0,2010 1,1,2010,Investment Sales,Multi-Housing,Apartments,a0A2A00000Tzm0SUAR,005F0000007WnNDIA0,a0I2A00000XQHUbUAP,Existing,2016 Tax @ $1769.16/Unit; 2011 Ops @ $4305.05/Unit,a0I2A00000XQHUbUAP,City-1118,Class A,County-0241,N,True,Market-0106,12.0,3.0,594.0,92.0,134.11,124431.82,Multi-Housing,Southwest,43800000.0,6/22/2014,18.68000031,326590.0,352.0,2008.0
19,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZVeQAM,5/11/2010,23100000.0,0062A00000moZVeQAM,1/13/2010,4/30/2010 0:00,Property Sale,True,0.0,2010 1,1,2010,Investment Sales,Multi-Housing,Apartments,a0A2A00000TzlGvUAJ,005F0000007WnNDIA0,a0I2A00000XQGoYUAX,Existing,2016 Tax @ $3210.06/Unit; 2011 Ops @ $2553.71/Unit,a0I2A00000XQGoYUAX,City-0486,Class A,County-0284,N,True,Market-0106,12.0,3.0,607.0,95.0,138.3,124358.97,Multi-Housing,Southwest,38800000.0,1/31/2014,14.89999962,280548.0,312.0,2008.0
22,0012A000023YLqwQAG,891,50161,True,True,2,False,False,False,False,False,True,True,False,40,851,693,996,1167,37,False,0062A00000moZYnQAM,10/21/2009,0.0,0062A00000moZYnQAM,10/13/2009,10/15/2009 0:00,Higher Risk Performing,True,,2009 4,4,2009,Loan Sales,Multi-Housing,Apartments,a0A2A00000TzpuOUAR,005F0000007WnNDIA0,a0I2A00000XQKv7UAH,,,a0I2A00000XQKv7UAH,City-1753,Class A,County-0046,N,False,Market-0080,17.0,3.0,,96.0,113.69,105000.0,Multi-Housing,Southeast,41160000.0,2/13/2015,25.29,362022.0,392.0,2007.0
