,id_accs,active_deals,activity_count,buyer_book,servicing_contract,investor_type,cmbs,consultant,correspondent,foreign,master_servicer,lender_book,loan_sales_book,loan_servicing,num_deals_as_client,num_deals_as_investor,number_of_properties,number_of_related_deals,number_of_related_properties,number_of_won_deals_as_client,investor_type_IsMissing,id_deals_x,accounting_date,best_initial_bid,id_deals.1,closedate,date_closed,deal_type,deal_update_flag,debt_yield,fiscal,fiscalquarter,fiscalyear,platform,property_group,property_type,id,createdbyid,id_props,building_status,building_tax_expenses,id_deals_y,city,class,county,sale_status,portfolio,market,num_buildings,num_floors,num_parking_spaces,occupancy_rate,price_per_sq_ft,price_per_unit,property_type_1,region__c,sale_amount__c,sale_date__c,size_acres,size_sf,size_units,year_built
8,0012A000023Xr7RQAS,2,13342,True,False,0,False,False,False,False,False,True,True,False,1,1,10,4,11,1,False,0062A00000moAV9QAM,6/11/2015,0.0,0062A00000moAV9QAM,2/4/2015,6/11/2015 0:00,Property Sale,True,0.0,2015 1,1,2015,Investment Sales,Hotel-Lodging,Hotel/Lodging,a0A2A00000TzksQUAR,005F0000007WnNDIA0,a0I2A00000XQGVPUA5,Existing,2016 Tax @ $5.50/sf,a0I2A00000XQGVPUA5,City-0488,,County-0172,N,False,Market-0059,1.0,11.0,276.0,80.0,252.74,201550.39,Hotel-Lodging,Southwest,52000000.0,6/11/2015,2.975,205745.0,258.0,2002.0
9,0012A000023YICnQAO,4,771,True,False,0,False,False,False,True,False,False,True,False,2,2,1,6,1,1,False,0062A00000moRrZQAU,6/15/2015,0.0,0062A00000moRrZQAU,4/17/2015,6/10/2015 0:00,Fixed-rate,True,11.5,2015 2,2,2015,Debt,Hotel-Lodging,Hotel/Lodging,a0A2A00000TzksRUAR,005F0000007WnNDIA0,a0I2A00000XQGVPUA5,Existing,2016 Tax @ $5.50/sf,a0I2A00000XQGVPUA5,City-0488,,County-0172,N,False,Market-0059,1.0,11.0,276.0,80.0,252.74,201550.39,Hotel-Lodging,Southwest,52000000.0,6/11/2015,2.975,205745.0,258.0,2002.0
17,0012A000023Y9tkQAC,26,2824,True,False,0,False,False,False,True,False,False,True,False,16,10,10,30,11,16,False,0062A00000moXcEQAU,6/15/2010,0.0,0062A00000moXcEQAU,3/24/2010,6/9/2010 0:00,Fixed-rate,True,0.0,2010 1,1,2010,Debt,Multi-Housing,Apartments,a0A2A00000Tzm0RUAR,005F0000007WnNDIA0,a0I2A00000XQHUbUAP,Existing,2016 Tax @ $1769.16/Unit; 2011 Ops @ $4305.05/Unit,a0I2A00000XQHUbUAP,City-1118,Class A,County-0241,N,True,Market-0106,12.0,3.0,594.0,92.0,134.11,124431.82,Multi-Housing,Southwest,43800000.0,6/22/2014,18.68000031,326590.0,352.0,2008.0
23,0012A000023XnbmQAC,19,19641,True,False,0,False,False,False,False,False,True,True,False,17,2,11,25,18,12,False,0062A00000moUYDQA2,2/17/2015,0.0,0062A00000moUYDQA2,11/7/2014,2/13/2015 0:00,Fixed-rate,True,0.0,2014 4,4,2014,Debt,Multi-Housing,Apartments,a0A2A00000TzpuRUAR,005F0000007WnNDIA0,a0I2A00000XQKv7UAH,,,a0I2A00000XQKv7UAH,City-1753,Class A,County-0046,N,False,Market-0080,17.0,3.0,,96.0,113.69,105000.0,Multi-Housing,Southeast,41160000.0,2/13/2015,25.29,362022.0,392.0,2007.0
29,0012A000023XmBnQAK,15,4983,True,False,0,False,False,False,False,False,False,True,False,13,2,2,24,4,11,False,0062A00000moSI9QAM,12/19/2012,0.0,0062A00000moSI9QAM,5/21/2012,12/19/2012 0:00,Construction Loan,True,0.0,2012 2,2,2012,Debt,Mixed Use,Mixed Use,a0A2A00000TzklVUAR,005F0000007WnNDIA0,a0I2A00000XQGP5UAP,Demolished,2012 Tax @ $0.37/sf,a0I2A00000XQGP5UAP,City-0488,Class A,County-0172,N,False,Market-0059,1.0,15.0,600.0,100.0,220.83,222826.09,Office,Southwest,61500000.0,12/7/2015,2.71,278496.0,276.0,1971.0
30,0012A000023XmBnQAK,15,4983,True,False,0,False,False,False,False,False,False,True,False,13,2,2,24,4,11,False,0062A00000moSr8QAE,6/12/2015,0.0,0062A00000moSr8QAE,10/28/2014,6/12/2015 0:00,Property Sale,True,0.0,2014 4,4,2014,Investment Sales,Multi-Housing,Apartments,a0A2A00000TzklNUAR,005F0000007WnNDIA0,a0I2A00000XQGP5UAP,Demolished,2012 Tax @ $0.37/sf,a0I2A00000XQGP5UAP,City-0488,Class A,County-0172,N,False,Market-0059,1.0,15.0,600.0,100.0,220.83,222826.09,Office,Southwest,61500000.0,12/7/2015,2.71,278496.0,276.0,1971.0
31,0012A000023XmBnQAK,15,4983,True,False,0,False,False,False,False,False,False,True,False,13,2,2,24,4,11,False,0062A00000moSpwQAE,12/19/2013,0.0,0062A00000moSpwQAE,3/6/2013,12/19/2013 0:00,Fixed-rate,True,0.0,2013 1,1,2013,Debt,Multi-Housing,Apartments,a0A2A00000Tzkj7UAB,005F0000007WnNDIA0,a0I2A00000XQGP5UAP,Demolished,2012 Tax @ $0.37/sf,a0I2A00000XQGP5UAP,City-0488,Class A,County-0172,N,False,Market-0059,1.0,15.0,600.0,100.0,220.83,222826.09,Office,Southwest,61500000.0,12/7/2015,2.71,278496.0,276.0,1971.0
32,0012A000023XmBnQAK,15,4983,True,False,0,False,False,False,False,False,False,True,False,13,2,2,24,4,11,False,0062A00000moSksQAE,6/18/2014,0.0,0062A00000moSksQAE,1/21/2014,6/13/2014 0:00,Fixed-rate,True,8.15,2014 1,1,2014,Debt,Office,Office,a0A2A00000TzklPUAR,005F0000007WnNDIA0,a0I2A00000XQGP5UAP,Demolished,2012 Tax @ $0.37/sf,a0I2A00000XQGP5UAP,City-0488,Class A,County-0172,N,False,Market-0059,1.0,15.0,600.0,100.0,220.83,222826.09,Office,Southwest,61500000.0,12/7/2015,2.71,278496.0,276.0,1971.0
33,0012A000023XmBnQAK,15,4983,True,False,0,False,False,False,False,False,False,True,False,13,2,2,24,4,11,False,0062A00000moSrSQAU,12/9/2015,0.0,0062A00000moSrSQAU,10/22/2014,12/7/2015 0:00,Property Sale,True,0.0,2014 4,4,2014,Investment Sales,Office,Office,a0A2A00000TzklMUAR,005F0000007WnNDIA0,a0I2A00000XQGP5UAP,Demolished,2012 Tax @ $0.37/sf,a0I2A00000XQGP5UAP,City-0488,Class A,County-0172,N,False,Market-0059,1.0,15.0,600.0,100.0,220.83,222826.09,Office,Southwest,61500000.0,12/7/2015,2.71,278496.0,276.0,1971.0
47,0012A000029wI3eQAE,14,23727,True,False,0,False,False,False,False,False,True,True,False,9,5,64,40,71,7,False,0062A00000moMxtQAE,10/22/2013,0.0,0062A00000moMxtQAE,4/25/2013,10/18/2013 0:00,Property Sale,True,0.0,2013 2,2,2013,Investment Sales,Retail,Retail,a0A2A00000TzpOkUAJ,005F0000007WnNDIA0,a0I2A00000XQKUuUAP,,,a0I2A00000XQKUuUAP,City-0598,,County-0293,N,False,Market-0153,,2.0,,98.0,87.92,,Retail,Midwest,100000000.0,10/18/2013,52.84,1137352.0,,1976.0
